Image,Room
UoEgal~6~6~118889~107598,Room_3:Curves
UoEart~2~2~50392~102302,Room_3:Curves
UoEgal~5~5~150496~164441,Room_3:Curves
UoEgal~4~4~45048~103238,Room_4:Curves
UoEgal~6~6~140958~109301,Room_4:Curves
UoEgal~5~5~91463~107253,Room_4:Curves
UoEart~2~2~44432~102504,Room_5:Red_Dots
UoEgal~5~5~91896~107286,Room_5:Red_Dots
UoEgal~5~5~60231~105521,Room_5:Red_Dots
UoEcar~3~3~57255~102170,Room_6:Fragiles
UoEsha~5~5~84671~103452,Room_7:Triangles
UoEart~2~2~28909~102535,Room_7:Triangles
UoEgal~5~5~59981~105501,Room_7:Triangles
UoEwmm~2~2~40947~102081,Room_7:Triangles
UoEgal~5~5~68251~104480,Room_7:Triangles
UoEecp~1~1~15983~142604,Room_8:Pointers
UoEsha~4~4~64164~103044,Room_8:Pointers
UoEgal~5~5~150580~164352,Room_8:Pointers
UoEecp~1~1~10782~142084,Room_9:Zebras
UoEgal~4~4~88562~106813,Room_9:Zebras
UoEgal~6~6~122005~107903,Room_9:Zebras
UoEgal~5~5~78902~106041,Room_12:Pointers
UoEecp~1~1~84406~148644,Room_12:Pointers
UoEsha~1~1~51131~101935,Room_12:Pointers
UoEgal~6~6~121853~107888,Room_13:Zebras
UoEwal~1~1~66235~100851,Room_13:Zebras
UoEart~2~2~32338~103396,Room_13:Zebras
UoEcar~2~2~44994~101827,Room_14:Triangles
UoEart~2~2~60118~103078,Room_14:Triangles
UoEart~2~2~66680~102800,Room_14:Triangles
UoEgal~6~6~162089~111159,Room_14:Triangles
UoEgal~5~5~90950~107211,Room_14:Triangles
UoEgal~5~5~81849~106882,Room_15:Fragiles
UoEcar~3~3~57321~102175,Room_15:Fragiles
UoEgal~5~5~150232~162464,Room_16:Blobs
UoEart~2~2~24846~104136,Room_16:Blobs
UoEart~2~2~36013~102228,Room_16:Blobs
UoEsha~4~4~56871~103000,Room_17:Thins
UoEgal~5~5~61068~103660,Room_17:Thins
UoEcar~4~4~52825~102862,Room_17:Thins
UoEwmm~2~2~41916~102168,Room_17:Thins
UoEart~2~2~27348~102458,Room_18:Blues
UoEsha~3~3~82290~162698,Room_18:Blues
UoEgal~4~4~48093~103264,Room_18:Blues